x						y1						y2						y3						y4						y5						y6						y7						y8						y9						y10						y11						y12						y13						y14						y15						y16						y17						y18	
-1.000000000000000000e+02 4.920000000000000762e-03 4.486329739214021430e-03 5.353670260785978359e-03 6.920000000000000803e-03 6.406200998390109216e-03 7.433799001609890655e-03 8.160000000000000586e-02 7.990328418489271722e-02 8.329671581510729450e-02 1.363800000000000012e-01 1.342529153196726222e-01 1.385070846803273803e-01 1.250000000000000026e-03 1.031006364328542054e-03 1.468993635671457998e-03 1.520000000000000084e-03 1.278543128053978486e-03 1.761456871946021682e-03
-9.900000000000000000e+01 5.580000000000000758e-03 5.118310374590802000e-03 6.041689625409197781e-03 7.180000000000000618e-03 6.656706221029947031e-03 7.703293778970052470e-03 8.254000000000000226e-02 8.083441293922827287e-02 8.424558706077173165e-02 1.398500000000000021e-01 1.377003565923016204e-01 1.419996434076983838e-01 1.370000000000000124e-03 1.140749295523647367e-03 1.599250704476352447e-03 1.560000000000000189e-03 1.315391594868516381e-03 1.804608405131483562e-03
-9.800000000000000000e+01 6.290000000000000452e-03 5.799991917196887017e-03 6.780008082803112152e-03 7.530000000000000235e-03 6.994198070669949141e-03 8.065801929330051329e-03 8.372000000000000275e-02 8.200336957943112071e-02 8.543663042056888479e-02 1.428900000000000170e-01 1.407209613528628278e-01 1.450590386471371507e-01 1.450000000000000117e-03 1.214160253077731233e-03 1.685839746922268567e-03 1.710000000000000148e-03 1.453920680771574785e-03 1.966079319228424861e-03
-9.700000000000000000e+01 7.120000000000000460e-03 6.598881526394406380e-03 7.641118473605592806e-03 7.960000000000000062e-03 7.409231344069835620e-03 8.510768655930164503e-03 8.506000000000001060e-02 8.333095184971757441e-02 8.678904815028241904e-02 1.460600000000000231e-01 1.438710924575467287e-01 1.482489075424532621e-01 1.670000000000000043e-03 1.416928413565367740e-03 1.923071586434632347e-03 1.800000000000000168e-03 1.537280005506425420e-03 2.062719994493574481e-03
-9.600000000000000000e+01 7.870000000000000259e-03 7.322328995947098573e-03 8.417671004052901945e-03 8.219999999999999876e-03 7.660382002791854723e-03 8.779617997208144162e-03 8.683000000000000440e-02 8.508474532826641734e-02 8.857525467173359146e-02 1.488400000000000001e-01 1.466339592795936342e-01 1.510460407204063660e-01 1.820000000000000220e-03 1.555827128465740294e-03 2.084172871534259713e-03 1.860000000000000108e-03 1.592945258503897883e-03 2.127054741496102550e-03
-9.500000000000000000e+01 8.720000000000000320e-03 8.143758535559429343e-03 9.296241464440571298e-03 8.580000000000000820e-03 8.008362682180145478e-03 9.151637317819856163e-03 8.875000000000000944e-02 8.698741105233173676e-02 9.051258894766825436e-02 1.516900000000000193e-01 1.494666703487047832e-01 1.539133296512951998e-01 2.020000000000000094e-03 1.741718269927216168e-03 2.298281730072784020e-03 1.920000000000000265e-03 1.648680266439462314e-03 2.191319733560537567e-03
-9.400000000000000000e+01 9.440000000000000474e-03 8.840658319131826370e-03 1.003934168086817458e-02 8.899999999999999925e-03 8.317894326165854030e-03 9.482105673834145820e-03 9.116000000000000492e-02 8.937600363235206902e-02 9.294399636764794082e-02 1.549000000000000099e-01 1.526575237571666521e-01 1.571424762428333677e-01 2.139999999999999975e-03 1.853588939957441940e-03 2.426411060042558011e-03 2.020000000000000094e-03 1.741718269927216168e-03 2.298281730072784020e-03
-9.300000000000000000e+01 1.001000000000000154e-02 9.393006578340022325e-03 1.062699342165997728e-02 9.300000000000000974e-03 8.705077154085897120e-03 9.894922845914101359e-03 9.445000000000000617e-02 9.263738616864136688e-02 9.626261383135864547e-02 1.578700000000000103e-01 1.556101091437176176e-01 1.601298908562824030e-01 2.280000000000000342e-03 1.984389501680858345e-03 2.575610498319141472e-03 2.120000000000000356e-03 1.834927594331758807e-03 2.405072405668241039e-03
-9.200000000000000000e+01 1.060000000000000005e-02 9.965272994222992842e-03 1.123472700577700725e-02 9.630000000000001406e-03 9.024714914599940574e-03 1.023528508540005877e-02 9.851000000000001422e-02 9.666299229420807770e-02 1.003570077057919230e-01 1.606100000000000028e-01 1.583342933554315879e-01 1.628857066445684176e-01 2.460000000000000381e-03 2.152970005916225553e-03 2.767029994083774341e-03 2.220000000000000185e-03 1.928296274684586191e-03 2.511703725315414179e-03
-9.100000000000000000e+01 1.124000000000000173e-02 1.058660366961011561e-02 1.189339633038988438e-02 1.002000000000000113e-02 9.402701584473328530e-03 1.063729841552667026e-02 1.036700000000000121e-01 1.017806665812109324e-01 1.055593334187890642e-01 1.635100000000000164e-01 1.612178099287848998e-01 1.658021900712150776e-01 2.580000000000000262e-03 2.265589544211761303e-03 2.894410455788238353e-03 2.309999999999999987e-03 2.012455524880895491e-03 2.607544475119104484e-03
-9.000000000000000000e+01 1.181000000000000105e-02 1.114043419309393781e-02 1.247956580690606082e-02 1.034000000000000023e-02 9.713023347075128502e-03 1.096697665292487196e-02 1.099000000000000116e-01 1.079614976235677426e-01 1.118385023764322528e-01 1.663000000000000034e-01 1.639921949657985600e-01 1.686078050342014467e-01 2.730000000000000222e-03 2.406603145159847898e-03 3.053396854840151678e-03 2.440000000000000328e-03 2.134217577135983854e-03 2.745782422864015936e-03
-8.900000000000000000e+01 1.253000000000000121e-02 1.184057729562237697e-02 1.321942270437762197e-02 1.073000000000000169e-02 1.009143461688100443e-02 1.136856538311899548e-02 1.169700000000000045e-01 1.149780746197617831e-01 1.189619253802382259e-01 1.689700000000000091e-01 1.666474704727604339e-01 1.712925295272395843e-01 2.910000000000000260e-03 2.576142016558231797e-03 3.243857983441767855e-03 2.600000000000000314e-03 2.284376416087504150e-03 2.915623583912495612e-03
-8.800000000000000000e+01 1.331000000000000065e-02 1.259972344090168686e-02 1.402027655909831444e-02 1.118000000000000070e-02 1.052833017211274487e-02 1.183166982788725653e-02 1.256900000000000239e-01 1.236353815815714463e-01 1.277446184184285460e-01 1.718200000000000005e-01 1.694819848685537589e-01 1.741580151314462421e-01 3.140000000000000430e-03 2.793239197001866521e-03 3.486760802998133471e-03 2.760000000000000300e-03 2.434835985256620424e-03 3.085164014743379309e-03
-8.700000000000000000e+01 1.438000000000000042e-02 1.364212586382080282e-02 1.511787413617919802e-02 1.156000000000000083e-02 1.089747516276170537e-02 1.222252483723829629e-02 1.360999999999999988e-01 1.339747555504027243e-01 1.382252444495972732e-01 1.747500000000000164e-01 1.723963089835575668e-01 1.771036910164424105e-01 3.360000000000000139e-03 3.001336744228933536e-03 3.718663255771066743e-03 2.900000000000000234e-03 2.566714478092267920e-03 3.233285521907731681e-03
-8.600000000000000000e+01 1.556000000000000091e-02 1.479290789454153036e-02 1.632709210545846626e-02 1.193000000000000137e-02 1.125708196272969842e-02 1.260291803727030084e-02 1.478100000000000247e-01 1.456102758826486321e-01 1.500097241173513618e-01 1.772200000000000164e-01 1.748532830543761130e-01 1.795867169456238643e-01 3.680000000000000111e-03 3.304706169938526495e-03 4.055293830061473294e-03 3.000000000000000062e-03 2.661033875841609456e-03 3.338966124158390669e-03
-8.500000000000000000e+01 1.685000000000000039e-02 1.605226630673715904e-02 1.764773369326284175e-02 1.226000000000000180e-02 1.157795245997164831e-02 1.294204754002835182e-02 1.615700000000000192e-01 1.592888079034714688e-01 1.638511920965285140e-01 1.796400000000000219e-01 1.772606854937417153e-01 1.820193145062582729e-01 3.970000000000000438e-03 3.580255895877453454e-03 4.359744104122546121e-03 3.220000000000000206e-03 2.868863735552726075e-03 3.571136264447274337e-03
-8.400000000000000000e+01 1.812000000000000069e-02 1.729328390148757860e-02 1.894671609851242278e-02 1.264000000000000019e-02 1.194759627994662621e-02 1.333240372005337418e-02 1.767600000000000282e-01 1.743956959864988998e-01 1.791243040135011011e-01 1.821100000000000219e-01 1.797179930489919142e-01 1.845020069510080740e-01 4.260000000000000765e-03 3.856330564470598563e-03 4.663669435529401233e-03 3.320000000000000468e-03 2.963470882128832386e-03 3.676529117871167682e-03
-8.300000000000000000e+01 1.952000000000000263e-02 1.866255283784412286e-02 2.037744716215587545e-02 1.304000000000000124e-02 1.233686832515063989e-02 1.374313167484935913e-02 1.915900000000000103e-01 1.891507835048560904e-01 1.940292164951439302e-01 1.845100000000000073e-01 1.821058178666790928e-01 1.869141821333209219e-01 4.590000000000000330e-03 4.171056522327823597e-03 5.008943477672177062e-03 3.520000000000000125e-03 3.152925922496951656e-03 3.887074077503048595e-03
-8.200000000000000000e+01 2.096000000000000293e-02 2.007214110892379180e-02 2.184785889107620713e-02 1.345000000000000188e-02 1.273604837955204933e-02 1.416395162044795097e-02 2.074400000000000133e-01 2.049268962518199511e-01 2.099531037481800755e-01 1.873200000000000143e-01 1.849017569319141296e-01 1.897382430680858434e-01 4.950000000000000407e-03 4.515016140326082519e-03 5.384983859673918294e-03 3.650000000000000466e-03 3.276233403573903386e-03 4.023766596426096680e-03
-8.100000000000000000e+01 2.237000000000000099e-02 2.145342429170090867e-02 2.328657570829909332e-02 1.375000000000000180e-02 1.302823976989406912e-02 1.447176023010593102e-02 2.219100000000000239e-01 2.193345599522415479e-01 2.244854400477584444e-01 1.898100000000000065e-01 1.873794695023944246e-01 1.922405304976055884e-01 5.330000000000000536e-03 4.878714681218095962e-03 5.781285318781903375e-03 3.880000000000000202e-03 3.494681568483638118e-03 4.265318431516362287e-03
-8.000000000000000000e+01 2.355000000000000149e-02 2.261012834619963857e-02 2.448987165380036440e-02 1.416000000000000071e-02 1.342771028345804245e-02 1.489228971654195897e-02 2.351000000000000312e-01 2.324716891005948471e-01 2.377283108994051597e-01 1.923400000000000110e-01 1.898971478418251257e-01 1.947828521581748962e-01 5.700000000000000205e-03 5.233400532781357258e-03 6.166599467218643153e-03 4.060000000000000241e-03 3.665880706620427802e-03 4.454119293379572679e-03
-7.900000000000000000e+01 2.457000000000000156e-02 2.361049172728720350e-02 2.552950827271279963e-02 1.455000000000000043e-02 1.380784112613867194e-02 1.529215887386132892e-02 2.454900000000000138e-01 2.428225425896878564e-01 2.481574574103121711e-01 1.944300000000000195e-01 1.919770913692994130e-01 1.968829086307005705e-01 6.000000000000000125e-03 5.521351272783268059e-03 6.478648727216732191e-03 4.300000000000000003e-03 3.894447976760192793e-03 4.705552023239807646e-03
-7.800000000000000000e+01 2.520000000000000365e-02 2.422858205559090886e-02 2.617141794440909150e-02 1.491000000000000138e-02 1.415885311952393318e-02 1.566114688047606784e-02 2.529399999999999982e-01 2.502457704824697649e-01 2.556342295175302315e-01 1.966600000000000292e-01 1.941964816338083155e-01 1.991235183661916874e-01 6.220000000000000702e-03 5.732708978440204280e-03 6.707291021559795390e-03 4.520000000000000580e-03 4.104248736270746205e-03 4.935751263729253220e-03
-7.700000000000000000e+01 2.573000000000000287e-02 2.474868678123055138e-02 2.671131321876944742e-02 1.536000000000000212e-02 1.459777632126206537e-02 1.612222367873793541e-02 2.575800000000000312e-01 2.548696274399706585e-01 2.602903725600292928e-01 1.987600000000000200e-01 1.962866026212486958e-01 2.012333973787512886e-01 6.440000000000000412e-03 5.944221060565051638e-03 6.935778939434949185e-03 4.760000000000000342e-03 4.333405277234607042e-03 5.186594722765393642e-03
-7.600000000000000000e+01 2.597000000000000350e-02 2.498424217665247762e-02 2.695575782334752243e-02 1.577000000000000277e-02 1.499783122267215815e-02 1.654216877732784044e-02 2.600999999999999979e-01 2.573810277149070624e-01 2.628189722850929333e-01 2.013300000000000090e-01 1.988446587753520400e-01 2.038153412246479779e-01 6.630000000000000476e-03 6.127008813596433907e-03 7.132991186403565310e-03 4.990000000000000512e-03 4.553270944331814021e-03 5.426729055668185267e-03
-7.500000000000000000e+01 2.608000000000000249e-02 2.509221249842446752e-02 2.706778750157553051e-02 1.616000000000000075e-02 1.537849635654200790e-02 1.694150364345799187e-02 2.610000000000000098e-01 2.582779846879992292e-01 2.637220153120007904e-01 2.036700000000000177e-01 2.011739219495185527e-01 2.061660780504814272e-01 6.810000000000000948e-03 6.300272791676640033e-03 7.319727208323360129e-03 5.220000000000000681e-03 4.773371055153233754e-03 5.666628944846765874e-03
-7.400000000000000000e+01 2.614000000000000351e-02 2.515110735518284041e-02 2.712889264481715967e-02 1.665000000000000160e-02 1.585693411026171951e-02 1.744306588973828370e-02 2.613300000000000067e-01 2.586068726264528772e-01 2.640531273735471363e-01 2.055500000000000105e-01 2.030453899651869232e-01 2.080546100348130978e-01 6.960000000000000908e-03 6.444728547458501537e-03 7.475271452541498544e-03 5.510000000000000141e-03 5.051199269528889799e-03 5.968800730471110483e-03
-7.300000000000000000e+01 2.615000000000000310e-02 2.516092329828906876e-02 2.713907670171093051e-02 1.708000000000000143e-02 1.627693423865198691e-02 1.788306576134801595e-02 2.613900000000000112e-01 2.586666706472699473e-01 2.641133293527300752e-01 2.076600000000000112e-01 2.051459129765463851e-01 2.101740870234536374e-01 7.070000000000000763e-03 6.550701444953859268e-03 7.589298555046140524e-03 5.830000000000000113e-03 5.358140508573409899e-03 6.301859491426590326e-03
-7.200000000000000000e+01 2.618000000000000188e-02 2.519037135628986526e-02 2.716962864371013156e-02 1.741000000000000186e-02 1.659934951561159097e-02 1.822065048438840582e-02 2.613900000000000112e-01 2.586666706472699473e-01 2.641133293527300752e-01 2.098800000000000110e-01 2.073560534920442233e-01 2.124039465079557987e-01 7.210000000000000263e-03 6.685622051209971599e-03 7.734377948790028927e-03 6.040000000000000230e-03 5.559768090263886298e-03 6.520231909736114162e-03
-7.100000000000000000e+01 2.620000000000000107e-02 2.521000358531301500e-02 2.718999641468698714e-02 1.791000000000000231e-02 1.708800054725389400e-02 1.873199945274610367e-02 2.614000000000000212e-01 2.586766369904661134e-01 2.641233630095339291e-01 2.119500000000000273e-01 2.094169620983250268e-01 2.144830379016749722e-01 7.440000000000000432e-03 6.907385551726325477e-03 7.972614448273676255e-03 6.420000000000000359e-03 5.924986520127795142e-03 6.915013479872205576e-03
-7.000000000000000000e+01 2.622000000000000372e-02 2.522963596642297662e-02 2.721036403357702388e-02 1.840000000000000316e-02 1.756703974883288763e-02 1.923296025116711175e-02 2.614000000000000212e-01 2.586766369904661134e-01 2.641233630095339291e-01 2.138300000000000201e-01 2.112887894912027498e-01 2.163712105087972348e-01 7.690000000000000654e-03 7.148579189186715296e-03 8.231420810813284278e-03 6.770000000000000843e-03 6.261761758442792314e-03 7.278238241557207638e-03
-6.900000000000000000e+01 2.626000000000000209e-02 2.526890118422648462e-02 2.725109881577351262e-02 1.892000000000000279e-02 1.807557541661353184e-02 1.976442458338646679e-02 2.614000000000000212e-01 2.586766369904661134e-01 2.641233630095339291e-01 2.157500000000000251e-01 2.132005250044609057e-01 2.182994749955390890e-01 7.980000000000000981e-03 7.428545416603924909e-03 8.531454583396073585e-03 7.110000000000000868e-03 6.589244986536992900e-03 7.630755013463007101e-03
-6.800000000000000000e+01 2.630000000000000046e-02 2.530816700834984459e-02 2.729183299165015633e-02 1.976000000000000326e-02 1.889740334161736299e-02 2.062259665838263659e-02 2.614000000000000212e-01 2.586766369904661134e-01 2.641233630095339291e-01 2.177700000000000191e-01 2.152119186551924024e-01 2.203280813448075803e-01 8.310000000000001413e-03 7.747352271527730740e-03 8.872647728472269485e-03 7.670000000000000602e-03 7.129278256790914231e-03 8.210721743209085238e-03
-6.700000000000000000e+01 2.635000000000000189e-02 2.535725013909213149e-02 2.734274986090786536e-02 2.045000000000000290e-02 1.957278095551490821e-02 2.132721904448509065e-02 2.614000000000000212e-01 2.586766369904661134e-01 2.641233630095339291e-01 2.194900000000000184e-01 2.169246613989017081e-01 2.220553386010982733e-01 8.600000000000000006e-03 8.027702598611605872e-03 9.172297401388394139e-03 8.089999999999999969e-03 7.534788457627429603e-03 8.645211542372570335e-03
-6.600000000000000000e+01 2.641000000000000292e-02 2.541615114005972911e-02 2.740384885994026978e-02 2.104000000000000314e-02 2.015048468000643286e-02 2.192951531999356649e-02 2.614100000000000312e-01 2.586866033354887073e-01 2.641333966645112441e-01 2.211200000000000110e-01 2.185478435547628384e-01 2.236921564452371836e-01 8.910000000000001252e-03 8.327570330637409229e-03 9.492429669362589806e-03 8.590000000000000413e-03 8.018032541815923314e-03 9.161967458184077512e-03
