x						y1						y2						y3						y4						y5						y6						y7						y8						y9						y10						y11						y12						y13						y14						y15						y16						y17						y18		
-1.000000000000000000e+02 5.230000000000000274e-03 4.782945701359961679e-03 5.677054298640038868e-03 7.360000000000000223e-03 6.830235461430501920e-03 7.889764538569498525e-03 8.252000000000001001e-02 8.081460100142330572e-02 8.422539899857668655e-02 1.373199999999999976e-01 1.351867593380555177e-01 1.394532406619444775e-01 1.530000000000000110e-03 1.287751377202910573e-03 1.772248622797089213e-03 2.050000000000000173e-03 1.769663651095171363e-03 2.330336348904829200e-03
-9.900000000000000000e+01 5.930000000000000375e-03 5.454134826957967620e-03 6.405865173042033130e-03 7.690000000000000654e-03 7.148579189186715296e-03 8.231420810813284278e-03 8.348000000000001253e-02 8.176560739611710149e-02 8.519439260388289581e-02 1.405200000000000060e-01 1.383660528199057993e-01 1.426739471800942127e-01 1.750000000000000036e-03 1.490948104261398096e-03 2.009051895738601760e-03 2.150000000000000001e-03 1.862921973653612617e-03 2.437078026346387385e-03
-9.800000000000000000e+01 6.580000000000000779e-03 6.078896440818037754e-03 7.081103559181962069e-03 8.020000000000001086e-03 7.467176198287045485e-03 8.572823801712953218e-03 8.448000000000001342e-02 8.275631079535199219e-02 8.620368920464800688e-02 1.435300000000000187e-01 1.413569210191158720e-01 1.457030789808841098e-01 1.950000000000000127e-03 1.676572906368299729e-03 2.223427093631700092e-03 2.240000000000000237e-03 1.946988176781616229e-03 2.533011823218383595e-03
-9.700000000000000000e+01 7.460000000000000485e-03 6.926675525850608910e-03 7.993324474149391193e-03 8.320000000000001006e-03 7.757016675299297642e-03 8.882983324700700900e-03 8.586000000000000576e-02 8.412359955095966013e-02 8.759640044904035139e-02 1.464400000000000146e-01 1.442487346140989002e-01 1.486312653859010735e-01 2.180000000000000080e-03 1.890930387618938334e-03 2.469069612381062043e-03 2.340000000000000066e-03 2.040534153057386741e-03 2.639465846942613391e-03
-9.600000000000000000e+01 8.110000000000000889e-03 7.554108191982209126e-03 8.665891808017790049e-03 8.670000000000000623e-03 8.095398488154867400e-03 9.244601511845133845e-03 8.787000000000000366e-02 8.611532465360653699e-02 8.962467534639347033e-02 1.496000000000000107e-01 1.473893218765833513e-01 1.518106781234166702e-01 2.320000000000000014e-03 2.021813679119013538e-03 2.618186320880986490e-03 2.460000000000000381e-03 2.152970005916225553e-03 2.767029994083774341e-03
-9.500000000000000000e+01 8.800000000000000530e-03 8.221144620384040688e-03 9.378855379615960372e-03 9.069999999999999937e-03 8.482411587265734770e-03 9.657588412734265104e-03 9.012000000000000566e-02 8.834519459758034821e-02 9.189480540241966311e-02 1.527400000000000146e-01 1.505103698120083822e-01 1.549696301879915916e-01 2.520000000000000104e-03 2.209257640028684626e-03 2.830742359971315583e-03 2.530000000000000131e-03 2.218643258904022530e-03 2.841356741095977731e-03
-9.400000000000000000e+01 9.550000000000001196e-03 8.947209977773895942e-03 1.015279002222610298e-02 9.420000000000001289e-03 8.821287507526007904e-03 1.001871249247399120e-02 9.308000000000000995e-02 9.127921954642594093e-02 9.488078045357405121e-02 1.557800000000000018e-01 1.535323340883615328e-01 1.580276659116384708e-01 2.820000000000000024e-03 2.491330484266767679e-03 3.148669515733232369e-03 2.620000000000000367e-03 2.303167981411445228e-03 2.936832018588554638e-03
-9.300000000000000000e+01 1.016000000000000063e-02 9.538448033334211845e-03 1.078155196666578941e-02 9.800000000000001418e-03 9.189448096083034992e-03 1.041055190391696438e-02 9.637000000000001121e-02 9.454099732387172272e-02 9.819900267612827194e-02 1.585400000000000142e-01 1.562762198058767205e-01 1.608037801941232525e-01 2.980000000000000444e-03 2.642162263878689715e-03 3.317837736121310305e-03 2.800000000000000405e-03 2.472494768579350764e-03 3.127505231420649179e-03
-9.200000000000000000e+01 1.079000000000000098e-02 1.014967116034490996e-02 1.143032883965508853e-02 1.027000000000000135e-02 9.645127114634667945e-03 1.089487288536533129e-02 1.004300000000000054e-01 9.856706670701538553e-02 1.022929332929846252e-01 1.614200000000000079e-01 1.591396631121236027e-01 1.637003368878764131e-01 3.180000000000000101e-03 2.831044520294795537e-03 3.528955479705204665e-03 2.950000000000000365e-03 2.613862033895892820e-03 3.286137966104107043e-03
-9.100000000000000000e+01 1.140000000000000041e-02 1.074202283802873879e-02 1.205797716197126203e-02 1.067000000000000066e-02 1.003320317403684492e-02 1.130679682596315641e-02 1.051200000000000051e-01 1.032190391701722915e-01 1.070209608298277187e-01 1.641300000000000259e-01 1.618343195015979064e-01 1.664256804984020899e-01 3.410000000000000270e-03 3.048687037165090461e-03 3.771312962834909212e-03 3.110000000000000351e-03 2.764894480506336922e-03 3.455105519493662913e-03
